Season,TeamA,TeamB,TradeCount
2015,Utah Jazz,Brooklyn Nets,1
2015,Sacramento Kings,San Antonio Spurs,1
2015,Sacramento Kings,Phoenix Suns,1
2015,New York Knicks,Orlando Magic,1
2015,Los Angeles Lakers,Indiana Pacers,1
2015,Orlando Magic,Oklahoma City Thunder,1
2015,Brooklyn Nets,Detroit Pistons,1
2015,Denver Nuggets,Houston Rockets,1
2015,Indiana Pacers,Minnesota Timberwolves,1
2015,Detroit Pistons,Phoenix Suns,1
2015,Phoenix Suns,Washington Wizards,1
2016,Los Angeles Lakers,Houston Rockets,2
2016,Dallas Mavericks,Houston Rockets,2
2016,Philadelphia 76ers,Cleveland Cavaliers,1
2016,Philadelphia 76ers,Boston Celtics,1
2016,Philadelphia 76ers,Atlanta Hawks,1
2016,Philadelphia 76ers,Utah Jazz,1
2016,Philadelphia 76ers,Orlando Magic,1
2016,Philadelphia 76ers,Dallas Mavericks,1
2016,Philadelphia 76ers,Houston Rockets,1
2016,Philadelphia 76ers,Oklahoma City Thunder,1
2016,Portland Trail Blazers,Cleveland Cavaliers,1
2016,Portland Trail Blazers,Sacramento Kings,1
2016,Portland Trail Blazers,Orlando Magic,1
2016,Portland Trail Blazers,Denver Nuggets,1
2016,Portland Trail Blazers,Houston Rockets,1
2016,Milwaukee Bucks,Chicago Bulls,1
2016,Milwaukee Bucks,Cleveland Cavaliers,1
2016,Milwaukee Bucks,Los Angeles Clippers,1
2016,Milwaukee Bucks,Charlotte Hornets,1
2016,Milwaukee Bucks,Denver Nuggets,1
2016,Milwaukee Bucks,Houston Rockets,1
2016,Chicago Bulls,Cleveland Cavaliers,1
2016,Chicago Bulls,Los Angeles Lakers,1
2016,Chicago Bulls,Oklahoma City Thunder,1
2016,Chicago Bulls,Minnesota Timberwolves,1
2016,Chicago Bulls,Golden State Warriors,1
2016,Cleveland Cavaliers,Atlanta Hawks,1
2016,Cleveland Cavaliers,Charlotte Hornets,1
2016,Los Angeles Clippers,Orlando Magic,1
2016,Los Angeles Clippers,Houston Rockets,1
2016,Memphis Grizzlies,Charlotte Hornets,1
2016,Memphis Grizzlies,Orlando Magic,1
2016,Memphis Grizzlies,Houston Rockets,1
2016,Atlanta Hawks,Charlotte Hornets,1
2016,Atlanta Hawks,Utah Jazz,1
2016,Atlanta Hawks,Denver Nuggets,1
2016,Atlanta Hawks,Indiana Pacers,1
2016,Atlanta Hawks,Houston Rockets,1
2016,Atlanta Hawks,Phoenix Suns,1
2016,Miami Heat,New Orleans Pelicans,1
2016,Charlotte Hornets,Sacramento Kings,1
2016,Charlotte Hornets,New Orleans Pelicans,1
2016,Utah Jazz,Los Angeles Lakers,1
2016,Utah Jazz,Denver Nuggets,1
2016,Utah Jazz,Indiana Pacers,1
2016,Utah Jazz,San Antonio Spurs,1
2016,Utah Jazz,Minnesota Timberwolves,1
2016,Utah Jazz,Washington Wizards,1
2016,Sacramento Kings,New Orleans Pelicans,1
2016,Los Angeles Lakers,Brooklyn Nets,1
2016,Orlando Magic,Toronto Raptors,1
2016,Dallas Mavericks,Indiana Pacers,1
2016,Dallas Mavericks,Golden State Warriors,1
2016,Brooklyn Nets,Indiana Pacers,1
2016,Brooklyn Nets,Houston Rockets,1
2016,Brooklyn Nets,Washington Wizards,1
2016,Denver Nuggets,Oklahoma City Thunder,1
2016,Indiana Pacers,New Orleans Pelicans,1
2016,New Orleans Pelicans,Washington Wizards,1
2016,Detroit Pistons,Houston Rockets,1
2016,Toronto Raptors,Phoenix Suns,1
2017,Chicago Bulls,New Orleans Pelicans,2
2017,Los Angeles Clippers,Atlanta Hawks,2
2017,Philadelphia 76ers,Milwaukee Bucks,1
2017,Philadelphia 76ers,Los Angeles Clippers,1
2017,Philadelphia 76ers,Dallas Mavericks,1
2017,Philadelphia 76ers,Brooklyn Nets,1
2017,Philadelphia 76ers,Detroit Pistons,1
2017,Philadelphia 76ers,Phoenix Suns,1
2017,Portland Trail Blazers,Chicago Bulls,1
2017,Portland Trail Blazers,Sacramento Kings,1
2017,Portland Trail Blazers,Brooklyn Nets,1
2017,Milwaukee Bucks,Brooklyn Nets,1
2017,Milwaukee Bucks,Phoenix Suns,1
2017,Chicago Bulls,Detroit Pistons,1
2017,Cleveland Cavaliers,Boston Celtics,1
2017,Cleveland Cavaliers,Atlanta Hawks,1
2017,Cleveland Cavaliers,Miami Heat,1
2017,Cleveland Cavaliers,Utah Jazz,1
2017,Cleveland Cavaliers,Sacramento Kings,1
2017,Cleveland Cavaliers,Los Angeles Lakers,1
2017,Boston Celtics,Detroit Pistons,1
2017,Los Angeles Clippers,Charlotte Hornets,1
2017,Los Angeles Clippers,Denver Nuggets,1
2017,Los Angeles Clippers,Detroit Pistons,1
2017,Los Angeles Clippers,Washington Wizards,1
2017,Memphis Grizzlies,Detroit Pistons,1
2017,Memphis Grizzlies,Phoenix Suns,1
2017,Atlanta Hawks,Miami Heat,1
2017,Atlanta Hawks,Charlotte Hornets,1
2017,Atlanta Hawks,Dallas Mavericks,1
2017,Atlanta Hawks,Denver Nuggets,1
2017,Atlanta Hawks,Washington Wizards,1
2017,Miami Heat,Dallas Mavericks,1
2017,Charlotte Hornets,New York Knicks,1
2017,Utah Jazz,Sacramento Kings,1
2017,Utah Jazz,Houston Rockets,1
2017,Sacramento Kings,Toronto Raptors,1
2017,New York Knicks,Dallas Mavericks,1
2017,New York Knicks,Denver Nuggets,1
2017,New York Knicks,Oklahoma City Thunder,1
2017,Orlando Magic,Denver Nuggets,1
2017,Orlando Magic,Phoenix Suns,1
2017,Dallas Mavericks,Denver Nuggets,1
2017,Brooklyn Nets,New Orleans Pelicans,1
2017,Brooklyn Nets,Toronto Raptors,1
2017,Indiana Pacers,Toronto Raptors,1
2017,Indiana Pacers,Oklahoma City Thunder,1
2018,Milwaukee Bucks,Detroit Pistons,2
2018,Milwaukee Bucks,Washington Wizards,2
2018,Chicago Bulls,Houston Rockets,2
2018,Philadelphia 76ers,Boston Celtics,1
2018,Philadelphia 76ers,Los Angeles Clippers,1
2018,Philadelphia 76ers,Atlanta Hawks,1
2018,Philadelphia 76ers,Los Angeles Lakers,1
2018,Philadelphia 76ers,Orlando Magic,1
2018,Philadelphia 76ers,Denver Nuggets,1
2018,Philadelphia 76ers,Toronto Raptors,1
2018,Philadelphia 76ers,Houston Rockets,1
2018,Philadelphia 76ers,Phoenix Suns,1
2018,Philadelphia 76ers,Oklahoma City Thunder,1
2018,Philadelphia 76ers,Minnesota Timberwolves,1
2018,Philadelphia 76ers,Washington Wizards,1
2018,Portland Trail Blazers,Cleveland Cavaliers,1
2018,Portland Trail Blazers,Atlanta Hawks,1
2018,Portland Trail Blazers,Sacramento Kings,1
2018,Milwaukee Bucks,Cleveland Cavaliers,1
2018,Milwaukee Bucks,New Orleans Pelicans,1
2018,Chicago Bulls,Memphis Grizzlies,1
2018,Chicago Bulls,Charlotte Hornets,1
2018,Chicago Bulls,Orlando Magic,1
2018,Chicago Bulls,Oklahoma City Thunder,1
2018,Chicago Bulls,Washington Wizards,1
2018,Cleveland Cavaliers,Los Angeles Clippers,1
2018,Cleveland Cavaliers,Utah Jazz,1
2018,Cleveland Cavaliers,Sacramento Kings,1
2018,Cleveland Cavaliers,Detroit Pistons,1
2018,Cleveland Cavaliers,Houston Rockets,1
2018,Cleveland Cavaliers,Washington Wizards,1
2018,Boston Celtics,Atlanta Hawks,1
2018,Boston Celtics,Oklahoma City Thunder,1
2018,Los Angeles Clippers,Memphis Grizzlies,1
2018,Los Angeles Clippers,Los Angeles Lakers,1
2018,Los Angeles Clippers,Dallas Mavericks,1
2018,Los Angeles Clippers,Brooklyn Nets,1
2018,Los Angeles Clippers,New Orleans Pelicans,1
2018,Memphis Grizzlies,Atlanta Hawks,1
2018,Memphis Grizzlies,Sacramento Kings,1
2018,Memphis Grizzlies,Orlando Magic,1
2018,Memphis Grizzlies,Toronto Raptors,1
2018,Atlanta Hawks,Miami Heat,1
2018,Atlanta Hawks,Brooklyn Nets,1
2018,Atlanta Hawks,Oklahoma City Thunder,1
2018,Atlanta Hawks,Golden State Warriors,1
2018,Miami Heat,Denver Nuggets,1
2018,Miami Heat,Phoenix Suns,1
2018,Charlotte Hornets,Orlando Magic,1
2018,Charlotte Hornets,Brooklyn Nets,1
2018,Charlotte Hornets,Oklahoma City Thunder,1
2018,Utah Jazz,Indiana Pacers,1
2018,Utah Jazz,Golden State Warriors,1
2018,Sacramento Kings,New York Knicks,1
2018,Sacramento Kings,Dallas Mavericks,1
2018,Sacramento Kings,Houston Rockets,1
2018,New York Knicks,Dallas Mavericks,1
2018,Los Angeles Lakers,Orlando Magic,1
2018,Los Angeles Lakers,Detroit Pistons,1
2018,Orlando Magic,Oklahoma City Thunder,1
2018,Dallas Mavericks,Detroit Pistons,1
2018,Dallas Mavericks,Houston Rockets,1
2018,Brooklyn Nets,Denver Nuggets,1
2018,Brooklyn Nets,Toronto Raptors,1
2018,Brooklyn Nets,Phoenix Suns,1
2018,Indiana Pacers,Houston Rockets,1
2018,Indiana Pacers,Golden State Warriors,1
2018,New Orleans Pelicans,Detroit Pistons,1
2018,New Orleans Pelicans,Golden State Warriors,1
2018,New Orleans Pelicans,Washington Wizards,1
2018,Toronto Raptors,San Antonio Spurs,1
2018,Houston Rockets,Phoenix Suns,1
2018,Phoenix Suns,Washington Wizards,1
2019,Atlanta Hawks,Minnesota Timberwolves,2
2019,Minnesota Timberwolves,Golden State Warriors,2
2019,Philadelphia 76ers,Portland Trail Blazers,1
2019,Philadelphia 76ers,Los Angeles Clippers,1
2019,Philadelphia 76ers,Atlanta Hawks,1
2019,Philadelphia 76ers,Miami Heat,1
2019,Philadelphia 76ers,Orlando Magic,1
2019,Philadelphia 76ers,Detroit Pistons,1
2019,Philadelphia 76ers,Golden State Warriors,1
2019,Portland Trail Blazers,Los Angeles Clippers,1
2019,Portland Trail Blazers,Atlanta Hawks,1
2019,Portland Trail Blazers,Miami Heat,1
2019,Portland Trail Blazers,Sacramento Kings,1
2019,Portland Trail Blazers,Minnesota Timberwolves,1
2019,Milwaukee Bucks,Indiana Pacers,1
2019,Chicago Bulls,Washington Wizards,1
2019,Cleveland Cavaliers,Utah Jazz,1
2019,Cleveland Cavaliers,Detroit Pistons,1
2019,Boston Celtics,Charlotte Hornets,1
2019,Boston Celtics,Phoenix Suns,1
2019,Los Angeles Clippers,Atlanta Hawks,1
2019,Los Angeles Clippers,Miami Heat,1
2019,Los Angeles Clippers,New York Knicks,1
2019,Los Angeles Clippers,Oklahoma City Thunder,1
2019,Los Angeles Clippers,Washington Wizards,1
2019,Memphis Grizzlies,Atlanta Hawks,1
2019,Memphis Grizzlies,Miami Heat,1
2019,Memphis Grizzlies,Utah Jazz,1
2019,Memphis Grizzlies,Dallas Mavericks,1
2019,Memphis Grizzlies,Houston Rockets,1
2019,Memphis Grizzlies,Phoenix Suns,1
2019,Memphis Grizzlies,Oklahoma City Thunder,1
2019,Memphis Grizzlies,Minnesota Timberwolves,1
2019,Memphis Grizzlies,Golden State Warriors,1
2019,Memphis Grizzlies,Washington Wizards,1
2019,Atlanta Hawks,Sacramento Kings,1
2019,Atlanta Hawks,Brooklyn Nets,1
2019,Atlanta Hawks,Denver Nuggets,1
2019,Atlanta Hawks,New Orleans Pelicans,1
2019,Atlanta Hawks,Houston Rockets,1
2019,Atlanta Hawks,Golden State Warriors,1
2019,Miami Heat,Indiana Pacers,1
2019,Miami Heat,Phoenix Suns,1
2019,Miami Heat,Minnesota Timberwolves,1
2019,Utah Jazz,New Orleans Pelicans,1
2019,New York Knicks,Washington Wizards,1
2019,Los Angeles Lakers,New Orleans Pelicans,1
2019,Los Angeles Lakers,Washington Wizards,1
2019,Dallas Mavericks,Oklahoma City Thunder,1
2019,Dallas Mavericks,Golden State Warriors,1
2019,Brooklyn Nets,San Antonio Spurs,1
2019,Brooklyn Nets,Golden State Warriors,1
2019,Brooklyn Nets,Washington Wizards,1
